"p"	"c"	"o"	"f"	"g"	"s"	"ID"
"kai__1859128"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobulbaceae"	"Candidatus Electrothrix"	"NA"	"kai__1859128"
"kai__1914252"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	"Thermodesulfitimonas"	"NA"	"kai__1914252"
"kai__2024975"	"Proteobacteria"	"Oligoflexia"	"Silvanigrellales"	"Silvanigrellaceae"	"Silvanigrella"	"NA"	"kai__2024975"
"kai__2038280"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiaceae"	"Robbsia"	"NA"	"kai__2038280"
"kai__2109263"	"Abditibacteriota"	"Abditibacteria"	"Abditibacteriales"	"Abitibacteriaceae"	"Abditibacterium"	"NA"	"kai__2109263"
"kai__0000101"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Flectobacillus"	"NA"	"kai__0000101"
"kai__0000133"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Methylocystaceae"	"Methylocystis"	"NA"	"kai__0000133"
"kai__0000965"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Oceanospirillum"	"NA"	"kai__0000965"
"kai__0001021"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Thiotrichaceae"	"Beggiatoa"	"NA"	"kai__0001021"
"kai__0001099"	"Chlorobi"	"Chlorobia"	"Chlorobiales"	"Chlorobiaceae"	"Pelodictyon"	"NA"	"kai__0001099"
"kai__0002129"	"Tenericutes"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	"Ureaplasma"	"NA"	"kai__0002129"
"kai__0028233"	"Thermotogae"	"Thermotogae"	"Petrotogales"	"Petrotogaceae"	"Geotoga"	"NA"	"kai__0028233"
"kai__0034100"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Filibacter"	"NA"	"kai__0034100"
"kai__0036739"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Dermabacteraceae"	"Dermabacter"	"NA"	"kai__0036739"
"kai__0039773"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"Methylococcaceae"	"Methylomicrobium"	"NA"	"kai__0039773"
"kai__0053634"	"Actinobacteria"	"Acidimicrobiia"	"Acidimicrobiales"	"Acidimicrobiaceae"	"Acidimicrobium"	"NA"	"kai__0053634"
"kai__0083614"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Luteimonas"	"NA"	"kai__0083614"
"kai__0086795"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Marmoricola"	"NA"	"kai__0086795"
"kai__0093681"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"NA"	"Roseateles"	"NA"	"kai__0093681"
"kai__0109262"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Halothiobacillaceae"	"Halothiobacillus"	"NA"	"kai__0109262"
"kai__0117999"	"Deferribacteres"	"Deferribacteres"	"Deferribacterales"	"Deferribacteraceae"	"Denitrovibrio"	"NA"	"kai__0117999"
"kai__0145260"	"Euryarchaeota"	"Methanobacteria"	"Methanobacteriales"	"Methanobacteriaceae"	"Methanothermobacter"	"NA"	"kai__0145260"
"kai__0168657"	"Aquificae"	"Aquificae"	"Aquificales"	"Aquificaceae"	"Hydrogenobaculum"	"NA"	"kai__0168657"
"kai__0286104"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Winogradskyella"	"NA"	"kai__0286104"
"kai__0286729"	"Bacteroidetes"	"Bacteroidia"	"Marinilabiliales"	"Marinilabiliaceae"	"Alkaliflexus"	"NA"	"kai__0286729"
"kai__0292691"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Gramella"	"NA"	"kai__0292691"
"kai__0300418"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Catellicoccus"	"NA"	"kai__0300418"
"kai__0336260"	"Synergistetes"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Thermovirga"	"NA"	"kai__0336260"
"kai__0382513"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"Telmatospirillum"	"NA"	"kai__0382513"
"kai__0397275"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Chromobacteriaceae"	"Andreprevotia"	"NA"	"kai__0397275"
"kai__0398041"	"Bacteroidetes"	"Chitinophagia"	"Chitinophagales"	"Chitinophagaceae"	"Flavisolibacter"	"NA"	"kai__0398041"
"kai__0472568"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Dermabacteraceae"	"Devriesea"	"NA"	"kai__0472568"
"kai__0633413"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Pseudozobellia"	"NA"	"kai__0633413"
"kai__0768650"	"Chloroflexi"	"Ktedonobacteria"	"Ktedonobacterales"	"Thermosporotrichaceae"	"Thermosporothrix"	"NA"	"kai__0768650"
"kai__0861913"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Fibrisoma"	"NA"	"kai__0861913"
"kai__0861914"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Fibrella"	"NA"	"kai__0861914"
"kai__1434043"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Saliterribacillus"	"NA"	"kai__1434043"
"kai__1649295"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Franconibacter"	"NA"	"kai__1649295"
"kai__1881091"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Edaphobacillus"	"NA"	"kai__1881091"
"kai__2028344"	"Verrucomicrobia"	"Opitutae"	"Opitutales"	"Opitutaceae"	"Ereboglobus"	"NA"	"kai__2028344"
"kai__2282756"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Pueribacillus"	"NA"	"kai__2282756"
"kai__0000528"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Brucellaceae"	"Ochrobactrum"	"NA"	"kai__0000528"
"kai__0000579"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Kluyvera"	"NA"	"kai__0000579"
"kai__0001227"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Chromatiaceae"	"Nitrosococcus"	"NA"	"kai__0001227"
"kai__0002040"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	"NA"	"kai__0002040"
"kai__0002233"	"Euryarchaeota"	"Archaeoglobi"	"Archaeoglobales"	"Archaeoglobaceae"	"Archaeoglobus"	"NA"	"kai__0002233"
"kai__0002321"	"Euryarchaeota"	"Methanomicrobia"	"Methanosarcinales"	"Methanosarcinaceae"	"Methanohalobium"	"NA"	"kai__0002321"
"kai__0028100"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Phyllobacteriaceae"	"Phyllobacterium"	"NA"	"kai__0028100"
"kai__0028209"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Chelatococcaceae"	"Chelatococcus"	"NA"	"kai__0028209"
"kai__0029404"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Microlunatus"	"NA"	"kai__0029404"
"kai__0029580"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Janthinobacterium"	"NA"	"kai__0029580"
"kai__0034067"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Piscirickettsiaceae"	"Cycloclasticus"	"NA"	"kai__0034067"
"kai__0044011"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Ferrimonadaceae"	"Ferrimonas"	"NA"	"kai__0044011"
"kai__0056688"	"Euryarchaeota"	"Halobacteria"	"Haloferacales"	"Halorubraceae"	"Halorubrum"	"NA"	"kai__0056688"
"kai__0065047"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"NA"	"Mitsuaria"	"NA"	"kai__0065047"
"kai__0083612"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Psychroflexus"	"NA"	"kai__0083612"
"kai__0088358"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophobacteraceae"	"Thermodesulforhabdus"	"NA"	"kai__0088358"
"kai__0089404"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Glaciecola"	"NA"	"kai__0089404"
"kai__0093368"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Phyllobacteriaceae"	"Pseudaminobacter"	"NA"	"kai__0093368"
"kai__0111142"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alishewanella"	"NA"	"kai__0111142"
"kai__0117156"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Actinopolymorpha"	"NA"	"kai__0117156"
"kai__0146784"	"Proteobacteria"	"Oligoflexia"	"Bacteriovoracales"	"Bacteriovoracaceae"	"Bacteriovorax"	"NA"	"kai__0146784"
"kai__0153027"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulforegula"	"NA"	"kai__0153027"
"kai__0196080"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Methylocystaceae"	"Terasakiella"	"NA"	"kai__0196080"
"kai__0215802"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"NA"	"Enhygromyxa"	"NA"	"kai__0215802"
"kai__0224455"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Archangiaceae"	"Hyalangium"	"NA"	"kai__0224455"
"kai__0246263"	"Aquificae"	"Aquificae"	"Aquificales"	"Aquificaceae"	"Hydrogenivirga"	"NA"	"kai__0246263"
"kai__0288021"	"Proteobacteria"	"Alphaproteobacteria"	"Kordiimonadales"	"Kordiimonadaceae"	"Kordiimonas"	"NA"	"kai__0288021"
"kai__0349742"	"Proteobacteria"	"Gammaproteobacteria"	"NA"	"NA"	"Sedimenticola"	"NA"	"kai__0349742"
"kai__0364316"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Verminephrobacter"	"NA"	"kai__0364316"
"kai__0379546"	"Euryarchaeota"	"NA"	"NA"	"NA"	"Aciduliprofundum"	"NA"	"kai__0379546"
"kai__0444459"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flagellimonas"	"NA"	"kai__0444459"
"kai__0476528"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Bibersteinia"	"NA"	"kai__0476528"
"kai__0483422"	"Chlamydiae"	"Chlamydiia"	"Parachlamydiales"	"Criblamydiaceae"	"Estrella"	"NA"	"kai__0483422"
"kai__0929509"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Solitalea"	"NA"	"kai__0929509"
"kai__1223423"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Neokomagataea"	"NA"	"kai__1223423"
"kai__1288026"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Arcticibacter"	"NA"	"kai__1288026"
"kai__1335631"	"Proteobacteria"	"Gammaproteobacteria"	"Orbales"	"Orbaceae"	"Frischella"	"NA"	"kai__1335631"
"kai__1392997"	"Euryarchaeota"	"Methanomicrobia"	"Methanosarcinales"	"Candidatus Methanoperedenaceae"	"Candidatus Methanoperedens"	"NA"	"kai__1392997"
"kai__1433998"	"Proteobacteria"	"Deltaproteobacteria"	"NA"	"NA"	"Dissulfuribacter"	"NA"	"kai__1433998"
"kai__1549126"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfatiglans"	"NA"	"kai__1549126"
"kai__1564515"	"Bacteroidetes"	"Saprospiria"	"Saprospirales"	"Haliscomenobacteraceae"	"Phaeodactylibacter"	"NA"	"kai__1564515"
"kai__1572763"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Moheibacter"	"NA"	"kai__1572763"
"kai__1755683"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Coxiellaceae"	"Candidatus Berkiella"	"NA"	"kai__1755683"
"kai__1763555"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae"	"Risungbinella"	"NA"	"kai__1763555"
"kai__1775292"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Motiliproteus"	"NA"	"kai__1775292"
"kai__1988031"	"Chloroflexi"	"Ardenticatenia"	"Ardenticatenales"	"Ardenticatenaceae"	"Candidatus Promineofilum"	"NA"	"kai__1988031"
"kai__2034504"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Thioalkalispiraceae"	"Sulfurivermis"	"NA"	"kai__2034504"
"kai__2039723"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Piscirickettsiaceae"	"Thiomicrorhabdus"	"NA"	"kai__2039723"
"kai__2100764"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Erwiniaceae"	"Mixta"	"NA"	"kai__2100764"
"kai__2136116"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Candidatus Sulfotelmatobacter"	"NA"	"kai__2136116"
"kai__2136118"	"Acidobacteria"	"Solibacteres"	"Solibacterales"	"Solibacteraceae"	"Candidatus Sulfopaludibacter"	"NA"	"kai__2136118"
"kai__2250122"	"Candidatus Bipolaricaulota"	"NA"	"NA"	"NA"	"Candidatus Bipolaricaulis"	"NA"	"kai__2250122"
"kai__2419833"	"Candidatus Riflebacteria"	"Candidatus Ozemobacteria"	"NA"	"Candidatus Ozemobacteraceae"	"Candidatus Ozemobacter"	"NA"	"kai__2419833"
"kai__0000059"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Neisseriaceae"	"Vitreoscilla"	"NA"	"kai__0000059"
"kai__0001023"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Microscillaceae"	"Microscilla"	"NA"	"kai__0001023"
"kai__0001198"	"Cyanobacteria"	"NA"	"Oscillatoriales"	"Oscillatoriaceae"	"Phormidium"	"NA"	"kai__0001198"
"kai__0040413"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobulbaceae"	"Desulforhopalus"	"NA"	"kai__0040413"
"kai__0051366"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Vibrionaceae"	"Salinivibrio"	"NA"	"kai__0051366"
"kai__0052972"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Polaromonas"	"NA"	"kai__0052972"
"kai__0059282"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Hyphomicrobiaceae"	"Blastochloris"	"NA"	"kai__0059282"
"kai__0065502"	"Actinobacteria"	"Actinobacteria"	"Frankiales"	"Cryptosporangiaceae"	"Cryptosporangium"	"NA"	"kai__0065502"
"kai__0075654"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Duganella"	"NA"	"kai__0075654"
"kai__0080865"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Delftia"	"NA"	"kai__0080865"
"kai__0090243"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Oligella"	"NA"	"kai__0090243"
"kai__0092793"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"NA"	"Aquabacterium"	"NA"	"kai__0092793"
"kai__0116071"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Micropruina"	"NA"	"kai__0116071"
"kai__0129577"	"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Aeromonadaceae"	"Oceanimonas"	"NA"	"kai__0129577"
"kai__0132605"	"Cyanobacteria"	"NA"	"Synechococcales"	"Pseudanabaenaceae"	"Limnothrix"	"NA"	"kai__0132605"
"kai__0158483"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Cedecea"	"NA"	"kai__0158483"
"kai__0188905"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Jannaschia"	"NA"	"kai__0188905"
"kai__0195964"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Asanoa"	"NA"	"kai__0195964"
"kai__0200473"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Crocinitomicaceae"	"Brumimicrobium"	"NA"	"kai__0200473"
"kai__0208447"	"Deinococcus-Thermus"	"Deinococci"	"Thermales"	"Thermaceae"	"Oceanithermus"	"NA"	"kai__0208447"
"kai__0252301"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Oceanicola"	"NA"	"kai__0252301"
"kai__0261827"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Algibacter"	"NA"	"kai__0261827"
"kai__0305976"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Pusillimonas"	"NA"	"kai__0305976"
"kai__0316612"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"NA"	"Methylibium"	"NA"	"kai__0316612"
"kai__0390250"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Labedella"	"NA"	"kai__0390250"
"kai__0412592"	"Aquificae"	"Aquificae"	"Aquificales"	"NA"	"Thermosulfidibacter"	"NA"	"kai__0412592"
"kai__0457933"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"NA"	"Elioraea"	"NA"	"kai__0457933"
"kai__0490567"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Arenimonas"	"NA"	"kai__0490567"
"kai__0626119"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Ruaniaceae"	"Ruania"	"NA"	"kai__0626119"
"kai__1141978"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Candidatus Magnetomorum"	"NA"	"kai__1141978"
"kai__1524214"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Vulgatibacteraceae"	"Vulgatibacter"	"NA"	"kai__1524214"
"kai__1562565"	"Acidobacteria"	"Blastocatellia"	"Blastocatellales"	"Pyrinomonadaceae"	"Pyrinomonas"	"NA"	"kai__1562565"
"kai__1635148"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Sanguibacteroides"	"NA"	"kai__1635148"
"kai__1745211"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Yersiniaceae"	"Chania"	"NA"	"kai__1745211"
"kai__1769012"	"Bacteroidetes"	"Chitinophagia"	"Chitinophagales"	"Chitinophagaceae"	"Arachidicoccus"	"NA"	"kai__1769012"
"kai__1784836"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Porphyromonadaceae"	"Fermentimonas"	"NA"	"kai__1784836"
"kai__1930932"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"NA"	"Thioflexothrix"	"NA"	"kai__1930932"
"kai__2038697"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Williamwhitmaniaceae"	"Williamwhitmania"	"NA"	"kai__2038697"
"kai__2491136"	"Chloroflexi"	"Chloroflexia"	"Chloroflexales"	"Oscillochloridaceae"	"Candidatus Viridilinea"	"NA"	"kai__2491136"
"kai__0053457"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Janibacter"	"NA"	"kai__0053457"
"kai__0169133"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Citricoccus"	"NA"	"kai__0169133"
"kai__1164863"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Enteractinococcus"	"NA"	"kai__1164863"
"kai__0001269"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Micrococcus"	"NA"	"kai__0001269"
"kai__0043673"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Jonesiaceae"	"Jonesia"	"NA"	"kai__0043673"
"kai__0059734"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Empedobacter"	"NA"	"kai__0059734"
"kai__0000507"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Alcaligenaceae"	"Alcaligenes"	"NA"	"kai__0000507"
"kai__0001835"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Saccharopolyspora"	"NA"	"kai__0001835"
"kai__1465824"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"NA"	"Timonella"	"NA"	"kai__1465824"
"kai__1742992"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Paenarthrobacter"	"NA"	"kai__1742992"
"kai__0246873"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Crocinitomicaceae"	"Crocinitomix"	"NA"	"kai__0246873"
"kai__2201383"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Mangrovicoccus"	"NA"	"kai__2201383"
"kai__0028250"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Ornithobacterium"	"NA"	"kai__0028250"
"kai__0158848"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Moellerella"	"NA"	"kai__0158848"
